date,gdpm,Energy.sector,Business.sector,Business.industries,Industrial.production,manufacturing.industries,Durable.good,Information,communication.technology,technology.sector,Public.Sector,Content,media,Cannabis,Agriculture,forestry,fishing.and.hunting,Mining,quarrying,oil.extraction,gas.extraction,Utilities,Construction,Manufacturing,Wholesale.trade,Retail.trade,Transportation,warehousing,cultural.industries,cultural,Finance,insurance,Real.estate,rental,leasing,Professional,scientific,technical.services,Management.companies,Management.enterprises,Administrative.support,waste.management,Educational.services,Health.care,social.assistance,Arts,entertainment,recreation,Accommodation,food.services,Public.administration,perishable,export,import,trade.balance,US.industrial,US..Shipment,Building.Permits,Consumer.confidence.index,inflation,employment,US.employment,gdp.growth,Price.Index,Housing.starts,US.Retail,Shipment,US.Shipment,global.pmi,Inventories,retail.trade,US.retail,US.housing,consumption,expenditure,Services,investment,Residential,Machinery,equipment,Intellectual.property,Farm
04-Feb,-0.0278249,-14.9859441,6.6387525,-20.1850977,1.6489074,55.4172152,17.1445412,-1.9506271,-10.5261648,27.3246633,21.2635048,9.4328236,2.0731837,0.5993966,21.1704266,2.9864287,-0.3181716,0.141867,21.1063005,23.8360035,-12.2025658,-0.144474,0.8442881,1.1133418,26.3298956,-23.4660833,-4.6884985,-2.8713964,-32.76069,1.1184532,0.8209702,-0.494901,0.0516599,2.0159995,-4.3669267,-1.3955341,2.0047539,-47.0379958,28.661427,6.4777687,3.3560968,-5.1785916,10.3333958,1.1751294,-9.6755688,-0.9476045,0.6714979,-0.1567406,1.5932674,4.9742387,-1.6304104,4.7082249,-4.3499839,1.2291117,-15.7895865,-21.0548934,7.044648,-1.7011495,-3.1597879,-7.7240267,-0.6398677,9.586073,2.2405676,7.0210729,-7.0230752,-17.8118117,45.8130688,7.044648,0.8695671,17.4220018,-23.4660833,3.2611625,3.4922891,1.8297134,-9.6712347,-5.5942884,3.8468514,5.0205315,0.5411842,0.9904892,5.9889627,0.2712421
04-Mar,0.3847595,41.0459927,17.9034498,-41.6595011,-0.3063351,10.692779,44.3507406,-1.636088,-4.7435706,5.9512135,-2.5061596,-4.7700663,0.6594605,6.2654766,-35.4149673,-0.9434408,6.779022,4.9030949,-7.2525513,13.8344316,20.7563514,8.1944088,0.0135774,-1.3246512,-24.2493263,18.9654899,0.0688501,10.0839594,15.2464786,-0.5842606,0.6091305,-0.1114987,0.5545139,1.5018702,2.0063433,2.9998219,6.0021026,17.3451792,-14.226751,-2.6475415,-12.5547633,5.0201625,7.1210642,1.7147758,0.5801292,-0.4032498,-1.551971,1.8058302,2.5520173,-2.1727837,-37.277014,-1.4572684,7.0164433,-1.4490019,11.0422941,-15.5251288,-3.8985751,7.897221,7.5095293,1.3558045,1.4196557,-41.7283679,1.7261224,-4.6943697,-13.8016027,9.3395924,-48.5166186,-3.8985751,5.2203706,-2.5589628,18.9654899,24.1719217,-2.5591671,-4.396411,3.8617895,3.284929,-2.316094,-1.1586207,11.7656506,-0.1727411,-18.025741,0.7919982
04-Apr,0.1110348,-31.5506656,-4.5808551,5.0011125,9.994568,-16.2626261,-29.057326,-0.33214,-7.3196247,-36.7462124,11.7344975,-2.6737208,2.2294914,7.9395893,47.3965313,-1.6423135,1.6998297,-3.3768025,43.0158185,-19.5357,8.4797789,-5.2067916,-1.0962056,1.633539,0.7190073,-13.3653516,-0.909106,6.834487,4.665258,0.3107371,-1.2374093,-0.0907787,-1.2499953,0.4291015,4.809168,0.2226259,-5.2002083,11.8593816,-1.6540198,12.7273181,24.7146687,-15.0558189,-12.8283489,-0.2052644,3.2436414,-2.2228094,-2.3560408,-2.3077321,-0.2272456,3.3286596,37.5736926,-0.3224908,-10.6578213,0.8867141,16.3714106,-11.3104565,3.1357178,3.3719249,-6.2078082,6.0151421,-1.3440243,56.8003154,0.8800103,8.95725,23.7497721,13.8682957,1.0131538,3.1357178,-11.7609043,2.3509306,-13.3653516,-4.5802442,-5.8932434,-1.8152438,-1.2559254,-0.4919903,1.1154751,-1.2426686,-7.308011,-2.6456159,1.136869,-5.8073987
04-May,0.0415503,15.2484558,-24.5133099,-2.6432142,6.653096,11.2403306,-51.1492708,1.2870786,-1.5753198,21.7666316,4.3487804,1.2874998,-1.6000326,-8.6287894,-25.2660888,-3.1389776,9.2449001,-0.3512821,-12.7440297,-35.0979067,-50.4083135,3.4678454,0.3667815,-1.4481016,6.067593,23.3437747,2.3618171,-37.5164017,-0.1404025,-2.7940414,2.4181495,2.5304713,-1.4244812,0.1902319,-4.0912532,0.795199,-2.2990092,3.0876575,-25.3690113,-31.9618918,-23.8367245,18.6144545,-48.0347474,2.818588,3.0626456,-0.6474998,-1.7060084,0.1905631,-3.7579146,-4.9312939,-4.7081697,-1.5718005,7.0894448,-0.6873164,-27.5420082,-19.6177039,47.1286,-17.0785439,-6.5995134,10.9999985,-0.1193853,18.2812351,11.8839764,-1.7180838,-2.5445854,-3.0613276,4.2374173,47.1286,51.682907,-53.1063813,23.3437747,2.5608587,-8.889376,20.5810306,1.4645743,1.3640591,-3.5384528,-1.0049082,-5.6043472,-0.3221558,3.8157032,0.4607854
04-Jun,0.2119117,-20.5702898,2.4348574,-7.8270223,9.2543368,0.0151077,53.7174801,-4.0518914,42.6519603,1.133648,4.4889146,-1.2935773,1.9449619,-9.5081283,-35.7634944,1.4971897,-10.8377592,0.2062314,63.1229886,21.2126817,31.3303839,-1.8940233,-2.7770752,3.902891,-39.7183268,2.338837,-1.5068723,44.6222412,-27.0806838,-0.1730771,0.2187467,-1.7188616,-1.9889343,-0.8402892,-8.7586404,-1.1086061,-3.5337841,-6.1068659,24.1700903,14.6180161,12.0492359,1.2833184,50.3421458,-1.3501329,1.5804982,0.4916324,3.1487817,1.1223309,1.6772031,4.467397,-4.7723562,-8.3843643,-3.94908,1.5391893,23.8723444,18.0471738,-14.7564981,-22.9166653,-9.3157285,-17.0939283,0.6153125,-39.4740367,-22.3705298,-0.1050944,-11.0369658,-19.4410802,-4.5694426,-14.7564981,-46.3876709,69.967265,2.338837,-10.5851334,11.8118848,-10.6693043,10.9856084,0.3705916,2.3804073,-0.2939657,11.1261574,1.2924631,8.2826769,-1.6357199
04-Jul,0.0404345,-8.5548205,28.5054984,8.227733,-24.1594324,3.5093247,-12.2823709,-6.8253839,-39.696495,-9.758144,-26.5496348,0.2329158,-3.062979,1.2854336,19.09233,-3.0301539,-2.1394402,-1.1811115,-103.4724938,12.4034297,-45.9366373,-11.4784458,2.2391853,-4.8104069,13.3038043,-30.1747533,-0.5588461,-2.9984638,-4.6356058,-2.7125697,-1.2425052,-1.7651049,5.1390142,0.5545422,10.8110229,-2.0121195,0.7268551,-5.4490338,-22.227835,24.4312126,5.9315205,-1.9407538,5.0647897,-0.5155325,-4.4707336,-0.2328523,3.1267057,-0.5051617,-2.6409745,1.1190751,-0.3746672,0.3160119,2.9542266,-1.3087775,-21.8611607,-14.2892561,-36.8822874,35.9866486,13.4032348,2.2481277,-1.7670947,0.8649179,15.0545963,14.9244471,-8.4700401,-7.2237989,-24.2151274,-36.8822874,1.6869181,-52.2059062,-30.1747533,6.0202187,-21.4227943,-4.6234299,0.0450804,0.8151173,1.5004665,-0.6816903,-5.3581342,-0.6082113,-6.917236,-0.1641778
04-Aug,0.1837686,-0.8007628,-34.1460234,-10.5992966,15.1493121,-17.5945845,-29.4743353,-0.9532303,10.3261365,-13.2655179,27.2335594,0.109362,3.3255077,2.3395533,13.2622226,0.9236018,5.7288477,-8.8727216,13.8657007,-16.4413994,42.9875085,9.6279211,-1.1775086,2.1607695,-0.1531206,-9.3139578,1.1620644,2.3258778,61.6589552,1.9951814,-0.8313013,1.4528425,-1.9496458,1.288069,4.6952986,0.5235154,0.0616162,-5.653019,24.9621135,-42.2946143,-9.0138676,10.4288506,-18.1225936,-0.0230418,-3.6013491,-0.1496569,-9.4240478,-0.0642553,0.9958571,6.2691035,-8.1776112,-6.7076069,0.9510893,2.0054147,48.2554788,-5.4388525,6.5763438,12.527337,0.2083943,8.2345558,1.513168,9.4375198,-18.2071523,-23.4538753,-0.9432891,2.0232256,20.4248336,6.5763438,-9.738181,29.8908377,-9.3139578,-35.4171879,-2.3331314,3.144213,-1.4931967,0.5004389,-0.0163155,-1.8821527,-2.4789095,2.7411196,19.4959705,0.00297
04-Sep,0.1215803,1.0374582,51.9176103,7.3360283,-32.5284411,62.1074031,5.9414371,3.5399643,4.4133074,10.0371895,-4.4332591,1.0798498,1.6564202,-0.0881362,4.748322,-0.2343094,-25.1699757,11.8916693,30.7524838,16.6376438,-12.7365755,-0.7451211,-0.6525218,-3.1907118,33.7207084,-6.9804055,1.0690997,-7.3330741,-34.4787945,-3.4788529,1.1361698,-0.5213951,-2.3221846,-2.9648817,-3.5397564,1.0958705,1.3465578,9.19577,-9.9682014,-13.9916714,12.3713056,-4.3626562,-2.0473349,0.3847042,1.703372,-0.3792857,3.8825219,-0.3277576,4.4813137,-55.917809,1.731328,24.9959577,-0.2519957,-4.5299493,-25.8650198,9.9440289,44.8251512,-19.0209049,-14.2046449,-7.9855528,-0.3087715,9.119946,8.9429673,-7.8085747,-8.3325958,-17.8250706,33.4125673,44.8251512,67.6255175,-7.0326118,-6.9804055,11.1098775,35.957462,-1.7802517,4.906013,-3.0407189,-2.7837883,-2.1296462,0.1169574,-4.7855482,-28.6570107,0.0141303
04-Oct,0.0142336,-9.0921381,-25.7895327,1.9562221,11.8864214,-44.4367898,46.2309801,-0.3904335,-7.50886,-28.5178284,-2.5236021,-0.0775158,0.9889291,-8.4746852,6.6511316,-3.6738212,21.8321263,-8.7229623,3.3302037,-21.6072119,7.029029,-4.0893017,2.2624945,-0.1923903,-20.6424371,5.7802662,-1.9264746,-1.3482735,-9.1282878,-2.5148499,-1.4743813,-1.4317798,-0.6243583,-1.7529319,-11.40112,-0.7987225,0.3983932,5.038873,-12.3293407,17.6019849,-23.4304654,-6.3352927,19.0785002,0.8399821,8.8289827,-0.0064,-1.8631969,-5.4772969,-6.6077695,52.8236685,3.7853993,-26.4281588,-1.9101483,-0.8041069,-1.1848884,-6.603643,-42.7366514,-5.7038692,12.0986178,-0.3402584,-1.4226347,-14.0941484,1.0945914,10.3533839,19.1537304,-7.4272041,-21.3198743,-42.7366514,-56.8804174,18.9024224,5.7802662,-13.418377,-35.4814679,7.2923695,-50.5434556,0.2424116,-3.1514519,2.3780698,-5.286125,1.0182392,8.8281095,-0.7645567
04-Nov,0.1623142,8.9454407,-13.1811617,-24.2145902,-27.8115898,-4.9525691,-24.6200756,-0.1196829,-18.500235,29.0949601,-31.9862776,0.832604,-0.2756245,12.9725353,-0.6999493,-1.2484742,-7.5073203,5.9969027,-46.7569615,46.291832,16.9821358,0.897417,-0.2061361,7.2976061,-21.1706904,19.5058157,-5.2523485,8.5808445,26.8951811,5.1960976,0.5509115,0.6686237,0.2557003,1.5455829,9.4740201,-1.7242835,0.8726189,-29.1087688,21.3730416,-19.6796673,3.0761211,2.6603024,-10.0657552,-4.7231835,-2.712021,-4.3998447,-0.494882,7.9396147,0.780806,15.7662099,-0.7415822,1.8474334,-0.0296115,0.5498877,-39.2932157,16.3396105,-12.5807987,-0.6106251,-11.8162001,-9.4407357,-0.8080068,-12.3631416,-2.4628348,6.991204,6.2064192,56.6472297,-0.3306695,-12.5807987,-3.7141905,-5.5542094,19.5058157,-0.6130705,22.6496494,-6.0223706,47.5724186,-0.2600019,-0.2823311,-0.2607261,0.3802961,-1.4554188,-15.5314702,2.0409649
